Country;Zone
Albania;Orthodox Europe
Algeria;North African-Islamic
Andorra;Catholic Europe
Argentina;Latin America
Armenia;Orthodox Europe
Australia;English-Speaking
Austria;Catholic Europe
Azerbaijan;North African-Islamic
Bangladesh;North African-Islamic
Belarus;Orthodox Europe
Belgium;Catholic Europe
Bolivia;Latin America
Bosnia H.;Orthodox Europe
Brazil;Latin America
Bulgaria;Orthodox Europe
Burkina Faso;Sub-Saharan Africa
Canada;English-Speaking
Chile;Latin America
China;Confucian
Colombia;Latin America
Croatia;Catholic Europe
Cyprus;Orthodox Europe
Czech Republic;Catholic Europe
Denmark;Protestant Europe
Ecuador;Latin America
Egypt;North African-Islamic
El Salvador;Latin America
Estonia;Protestant Europe
Ethiopia;Sub-Saharan Africa
Finland;Protestant Europe
France;Catholic Europe
Georgia;Orthodox Europe
Germany;Protestant Europe
Ghana;Sub-Saharan Africa
Great Britain;English-Speaking
Greece;Orthodox Europe
Guatemala;Latin America
Haiti;Latin America
Hong Kong SAR;Confucian
Hungary;Catholic Europe
Iceland;Protestant Europe
India;West & South Asia
Indonesia;North African-Islamic
Iran;North African-Islamic
Iraq;North African-Islamic
Ireland;English-Speaking
Israel;West & South Asia
Italy;Catholic Europe
Japan;Confucian
Jordan;North African-Islamic
Kazakhstan;North African-Islamic
Kenya;Sub-Saharan Africa
Kosovo;Orthodox Europe
Kuwait;North African-Islamic
Kyrgyzstan;North African-Islamic
Latvia;Catholic Europe
Lebanon;North African-Islamic
Libya;North African-Islamic
Lithuania;Catholic Europe
Luxembourg;Catholic Europe
Macau SAR;Confucian
Malaysia;West & South Asia
Maldives;North African-Islamic
Mali;Sub-Saharan Africa
Malta;Catholic Europe
Mexico;Latin America
Moldova;Orthodox Europe
Mongolia;Confucian
Montenegro;Orthodox Europe
Morocco;North African-Islamic
Myanmar;West & South Asia
N.Macedonia;Orthodox Europe
Netherlands;Protestant Europe
New Zealand;English-Speaking
Nicaragua;Latin America
Nigeria;Sub-Saharan Africa
Northern Ireland;English-Speaking
Norway;Protestant Europe
Pakistan;North African-Islamic
Palestine;North African-Islamic
Peru;Latin America
Philippines;West & South Asia
Poland;Catholic Europe
Portugal;Catholic Europe
Puerto Rico;Latin America
Qatar;North African-Islamic
Romania;Orthodox Europe
Russia;Orthodox Europe
Rwanda;Sub-Saharan Africa
Saudi Arabia;North African-Islamic
Serbia;Orthodox Europe
Singapore;Confucian
Slovakia;Catholic Europe
Slovenia;Catholic Europe
South Africa;Sub-Saharan Africa
South Korea;Confucian
Spain;Catholic Europe
Sweden;Protestant Europe
Switzerland;Protestant Europe
Taiwan;Confucian
Tajikistan;North African-Islamic
Tanzania;Sub-Saharan Africa
Thailand;West & South Asia
Trinidad;Latin America
Tunisia;North African-Islamic
Turkey;North African-Islamic
Uganda;Sub-Saharan Africa
Ukraine;Orthodox Europe
Uruguay;Latin America
USA;English-Speaking
Uzbekistan;North African-Islamic
Venezuela;Latin America
Vietnam;West & South Asia
Yemen;North African-Islamic
Zambia;Sub-Saharan Africa
Zimbabwe;Sub-Saharan Africa
